run,frame,applied,reason,estimated_step,allowed_step,step_ratio,support_low,keyframe_pressure,motion_pressure,static_inliers,static_grid_coverage,v20_cluster_hits
wrpy_v20,8,1,,0.01023,0.006267,2.938294,1,1,1,231,0.039714,0
wrpy_v20,10,1,,0.008677,0.00805,1.940031,1,1,0,172,0.030273,0
wrpy_v20,11,1,,0.009734,0.008423,2.080063,1,1,1,168,0.029297,0
wrpy_v20,18,1,,0.014235,0.010591,2.419501,1,1,1,128,0.024089,0
wrpy_v20,30,1,,0.011955,0.011252,1.912426,1,1,0,202,0.040365,0
wrpy_v20,35,1,,0.017593,0.012522,2.528956,1,1,1,89,0.017253,0
wrpy_v20,36,1,,0.015632,0.013214,2.129367,1,1,1,158,0.027344,0
wrpy_v20,47,1,,0.018882,0.016115,2.109075,1,1,1,164,0.029622,0
wrpy_v20,49,1,,0.024001,0.016115,2.680925,1,1,1,129,0.02474,0
wrpy_v20,51,1,,0.017025,0.016546,1.852091,1,1,0,252,0.041341,0
wrpy_v20,63,1,,0.022196,0.018,1.915527,1,1,0,241,0.041016,0
wrpy_v20,65,1,,0.022613,0.018,1.933653,1,1,0,276,0.046549,0
wrpy_v20,72,1,,0.021375,0.018,1.640535,1,1,0,307,0.049805,0
wrpy_v20,81,1,,0.025149,0.018,1.858057,1,1,0,259,0.04362,0
wrpy_v20,83,1,,0.022143,0.018,1.612967,1,1,0,221,0.041341,0
wrpy_v20,115,1,,0.026224,0.018,1.761141,1,1,0,235,0.049479,0
wrpy_v20,116,1,,0.032978,0.018,2.208299,1,1,1,241,0.046875,0
wrpy_v20,117,1,,0.047367,0.018,3.054889,1,1,1,193,0.04069,0
wrpy_v20,118,1,,0.025863,0.018,1.584387,1,1,0,155,0.032552,0
wrpy_v20,119,1,,0.026742,0.018,1.57307,1,1,0,154,0.026367,0
wrpy_v20,120,1,,0.028043,0.018,1.591522,1,1,0,156,0.02832,0
wrpy_v20,121,1,,0.025503,0.018,1.424661,1,1,0,203,0.032552,0
wrpy_v20,122,1,,0.027367,0.018,1.52874,1,1,0,193,0.034505,0
wrpy_v20,123,1,,0.018558,0.018,1.031844,1,1,0,205,0.032227,0
wrpy_v20,124,1,,0.023889,0.018,1.327149,1,1,0,160,0.026693,0
wrpy_v20,125,1,,0.031905,0.018,1.772521,1,1,0,200,0.036133,0
wrpy_v20,126,1,,0.040445,0.018,2.246944,1,1,1,215,0.033203,0
wrpy_v20,127,1,,0.03469,0.018,1.927226,1,1,0,203,0.033854,0
wrpy_v20,129,1,,0.019736,0.018,1.096463,1,1,0,206,0.033203,0
wrpy_v20,131,1,,0.018665,0.018,1.036938,1,1,0,131,0.02832,0
wrpy_v20,132,1,,0.040476,0.018,2.248657,1,1,1,199,0.033854,0
wrpy_v20,133,1,,0.047687,0.018,2.649296,1,1,1,166,0.032552,0
wrpy_v20,134,1,,0.052733,0.018,2.929606,1,1,1,174,0.033529,0
wrpy_v20,135,1,,0.023144,0.018,1.285751,1,1,0,238,0.044596,0
wrpy_v20,136,1,,0.034414,0.018,1.911887,1,1,0,218,0.044922,0
wrpy_v20,139,1,,0.018549,0.018,1.030503,1,1,0,258,0.044271,0
wrpy_v20,144,1,,0.042887,0.018,2.382586,1,1,1,66,0.015951,0
wrpy_v20,147,1,,0.034706,0.018,1.928138,1,1,0,80,0.018229,0
wrpy_v20,148,1,,0.0412,0.018,2.288889,1,1,1,68,0.016276,0
wrpy_v20,149,1,,0.047766,0.018,2.653647,1,1,1,61,0.014974,0
wrpy_v20,150,1,,0.023463,0.018,1.303514,1,1,0,71,0.017904,0
wrpy_v20,151,1,,0.027562,0.018,1.531201,1,1,0,82,0.019206,0
wrpy_v20,153,1,,0.034227,0.018,1.901508,1,1,0,60,0.011719,0
wrpy_v20,154,1,,0.035121,0.018,1.951145,1,1,0,78,0.018555,0
wrpy_v20,155,1,,0.032106,0.018,1.783688,1,1,0,93,0.020182,0
wrpy_v20,156,1,,0.054534,0.018,3.029644,1,1,1,91,0.019531,0
wrpy_v20,158,1,,0.021164,0.018,1.175775,1,1,0,83,0.019531,0
wrpy_v20,159,1,,0.018428,0.018,1.023775,1,1,0,103,0.022135,0
wrpy_v20,160,1,,0.04082,0.018,2.267758,1,1,1,120,0.023763,0
wrpy_v20,163,1,,0.027832,0.018,1.546197,1,1,0,119,0.022786,0
wrpy_v20,165,1,,0.019985,0.018,1.110271,1,1,0,136,0.026042,0
